text	label
"Charlie Kimball: ""I had nowhere to go"" {{URL}} #IndyCar #MAVTV500"	OK
Ohh my gawdd i woke up so throwed dis nicca paper slept n my damn car n he threw up n my Shit n i lost my phone smh GM	NG
seriously, who cares what color somebody is? that makes you a huge faggot in my book.	NG
Laughin at all y'all bitches #SullyStyle {{URL}}	NG
When people igg my text they get aired out in my head all types of bitches an dickheads 😂	NG
@USER @USER @USER @USER no u eat it inbred trailer trash.	NG
Pretty ass niggah. {{URL}}	NG
@USER lol I don't got nothin against nobody witta man. I'm just sayin summa these hoes be lyingggggg	NG
Left a nice little message in his inbox so he deleted the comment where he called me a bitch 😂 these… {{URL}}	NG
I'm gonna be ghetto and color over the stain with a sharpie ctfu	OK
@USER @USER I'll continue dis later. I'll be back bitch.	NG
@USER bring yo bitch ass whith em jump in want to and get yo ass beat up	NG
@USER fugly white bitch	NG
"""niggas bitches bitch ass niggas dike ass hoes black ass and bright ass hoes fag tags and scally wags"""	NG
RT @USER: bitch you got too many teeth in your mouth	NG
I'm rich bitch  *said in Dave Chappell voice*	NG
Teen gets all her holes penetrated and even fists her own twat {{URL}}	NG
@USER So was I cunt, welcome to twitter	NG
@USER nigger mad	NG
Hoes be prayin niccas dnt kno dat background	NG
RT @USER: Free my niggah @USER	NG
@USER @USER hey faggot spell faggot right you dipshit	NG
@USER You need to insert a chill pill up your ass. Twice a day until your bitch assness goes away. If the problem persists, see a doctor.	NG
RT @USER: Oreo Cheesecake Bars {{URL}}	OK
I hate that when I have assigned seats they sit me by the most annoying bitches in the whole class.	NG
RT @USER: Me: Do you sell any larger sized condoms? Her: Sir those are 13 gallon trash bags! Me: *winks until security escorts me …	OK
Early bird gets the worm!	OK
Other then the faggot shit, Macklemore actually a really good artist....better than alot of rappers	NG
High then a bitch of them bong rips, steady smoking 11 g's with my nigga Jorge	NG
Is this retarded bitch really this stupid?	NG
One thing i always tell my lor cousins big cousins my bitches && niggah u always gonna be good regardless	NG
RT @USER: You might be a liberal if you continue to trash America, claiming how horrible and evil it is, yet you refuse to leave	OK
RT @USER: I believe the time for uncouth/uncivilised people to be sentenced to death for racial slurs/attacks against NE citizens...	NG
@USER bitch answer my calls	NG
Yes bitch you still in love in rich. She lying	NG
DO IT DO IT! You'll still e a fag but do it(: — I'll pass Heidi. ;) {{URL}}	NG
Long neck ass bitch lmbo	NG
RT @USER: its some sexy ugly bitches in the world cuh that ill fucc	NG
Hope you find a bitch with some ass that satisfies ya needs	NG
Ferrari addiction bitch it's a wonderful thing.	NG
Oh. Wow. Avoiding that bitch.	NG
bitch I be smokin gas I could start a ferrari!!!	NG
@USER is it full of niggers	NG
RT @USER: Chicks wait til their hair is all broken down to go natural in their 30s, but bitch about the young Carter's fro from birth…	NG
"RT @USER: When she tells you ""Go hug one of your hoes."" & you actually do it  {{URL}}"	NG
She’s The key to world peace. RT @USER: Hippo is such a pussy magnet Gawd	NG
RT @USER: Life's a bitch, but that's the only love I know	NG
Bumoose ducking those insults like a scared white pussy	NG
cant hate onna bitch getting paid for what she got	NG
I'm sick as fuck... this shit is for the birds	NG
RT @USER: Twitter tipped its cap to say #FarewellCaptain to Jeter in his Yankee Stadium finale. VIDEO: {{URL}} http://t…	OK
RT @USER: I got gatorades, Twinkies, rice puddings, Pringles, and cookies 😍😫	OK
I feel so alone. I miss my #wife so much. I hate the white trash who raped and killed her and our daughters.	NG
Little bitty bumble bee🐝🐝 #bumblebee {{URL}}	OK
I was feelin her About a week Agoooo, Now? She just a silly hoe....Silly hoe 💯💯✋	NG
@USER: Atlanta niggas* @USER: Bay niggas gotta chill. RT @USER: I'm shitting on you hoes. {{URL}}	NG
@USER finger my wet throbbing pussy slowly as I cum on ur fingers	NG
I'm bout to hop off this hoe they Tryna get on my ass	NG
RT @USER: Yes, the bird tweets in the morning are lovely but remember, what you're hearing is: BIRD COCK HERE! GET SOME ROCK HARD BIRD…	NG
So if a girl gets drunk and does some hoe shit...it's rape now???	NG
@USER Yeaa black bitches actin like they too good for an average nigga like they just got A1 credit and pussy	NG
Video: Charlie Baker makes final push for votes {{URL}}	OK
RT @USER: Exactly. Don't be gettin no additional pussy for them soft ass tweets. Jus be you dude lol	NG
I must have pissed this nigga off aha um, because he my hoe & he acting OUTTA line 😂😭	NG
@USER shut the fuck up, your wack as fuck. Garbage mohawk having faggot, stop making music and shovel my snow scrub.	NG
On a scale of 1 to redneck, I'm watching Days of Thunder right now. #goCruise	NG
RT @USER: Oreo Cheesecake Bars {{URL}}	OK
RT @USER: @USER lol why you tryna be raw doe bitch	NG
I always soprised dat I has mo while followers den colored	OK
All y'all bitches corny lol	NG
& fuck your bitch	NG
RT @USER: Don't put the pussy on a pedestal homie	NG
@USER is having a birthday so make sure you tell that bitch be happy. 😎😊 🎉 & celebrate without drugs 🚫	NG
RT @USER: Miserable bitches talk the most shit 😂✌️	NG
Bitch nicca talmbout a mf 3peat....Df y'all ain't da Lakers	NG
It's so scary hoe Annabella does everything I do , she acts just like me 😂	NG
"""@USER: Lemmie eat a Oreo & do these dishes."" One oreo? Lol"	OK
At work but wish I was floating in my 15 ft., on sale at Walmart, redneck pool that my husband probably hasn't cleaned since last weekend.	OK
Mane if dis nicca call me 1 mo time n say he Finna pull up but dnt pull up	NG
"Hoes be like ""Hoes be like""..........But they be the hoes that be like"	NG
@USER ion sneak diss on broke bitches 😒👏	NG
@USER I mean we have other pics of me ..idk why you chose that one *cough* bitch *cough*	NG
All these bitches & niggas be Trippin offa what type of relationship me & duddy got like we not fuccing no more & we not dating.	NG
I need a bitch to go down like I need a beat	NG
@USER ima call you of a different number cuz moms still on sum hoe shit	NG
The #Yankees don't need Tanaka or Beltran or all these 'big name' players!!! #believe	OK
@USER your one of my bitches you make money for me !	NG
RT @USER: If a woman cares about you she'll get mad over little things. If you can't handle that, you deserve a hoe.	NG
ion like papoose but he went in lol	OK
@USER bitch am not your fam and wtf is skrong, who says shit like that get your wack ass off my page lamo	NG
“@USER: Smh bitches are such haters !!! How dare they do this to her #blackgirls #jealousy {{URL}}” YOOO LOOOL	NG
RT @USER: @USER nigger: A fully grown niglet {{URL}} {{URL}}	NG
@USER Y am I not surprised UGLY MIKE BOOGIE has to buy pussy??!!!!	NG
You really can't be too nice to bitches that's the easiest way to get cheated on	NG
Pussy ass hoe niggas, I can't fuck wit y'all	NG
You hoes AINT fucking with me 😎😎 {{URL}}	NG
"""Dropped a stack cause bitch I'm ON"". -@USER  Song called ""Dope"". Download the mixtape here: {{URL}}"	NG
My bitches pop that pussy,pop that gum and pop pills	NG
My down bitch 👊 my crime partner 💰🔫 ima bitch when he get mad 👐 my lil doctor 💛💙💕	NG
“@USER: On the east coast there's colored hair everywhere.  This must be the sweetest wave ever.” @USER	OK
I hate bitches that have attitudes all the time	NG
RT @USER: Amanda wants Fizz to protect her. This dude told yo ass on MULTIPLE occasions to let this bitch be.	NG
RT @USER: Cowboys trash again.The NFL is bike to normal	OK
You know these hoes is no good when all the singers stop making love songs 😂😂	NG
I'm pussy whipping these hoes	NG
Cause you know.. Y'all hoes play entirely too much.	NG
RT @USER: Niggas talk more than bitches these days...	NG
{{URL}}”girl cheeks gone be cold than a bitch	NG
"@USER reason for why he only rap about pussy... "" What am I supposed to talk about?"" smh  How bout you make music that ain't NEGATIVE!"	NG
Bitches cheat on they bitch... But be SOOOOOO HURT when they bitch cheat back.	NG
@USER bet... My trash ass self is just that petty	NG
RT @USER: @USER @USER @USER Yeah I know it's Jeff's book. The one where he admits to beating prisoners and lying abo…	OK
That bitch on qualitest , she dont act right #WiseWordsFromWebb	NG
"RT @USER: ""In 2014 you tweeted that Migos were trash. Care to explain?"" - 2064 Supreme Court Confirmation Hearing"	OK
"all them ""model"" hoes follow a nigga...""blow up""...an then hit the infamous imma only follow 25 people wave..."	NG
Watching Deadly Women. This malicious bitch left 50 babies out in the sun so they can bake to death. Wtf.	NG
RT @USER: Iz no point in being jealous cuz dee hoes for everybody #💯💯💯 #BucketsProverbs	NG
RT @USER: Bitch must have a 279.0 & be related to Jesus then {@USER: GPA or Legacy RT @USER: How this bitch get in http://t.…	NG
RT @USER: “@USER: Can't spell slut without u, bitch.”	NG
Flappy bird on bull....	OK
If she hates being kissed in the mouth she a hoe.Tell me different.	NG
"RT @USER: ""Fuck all the skinny bitches"" @USER #NeverForget 😭💀 {{URL}}"	NG
I want a cowboy killer	OK
"""this weekends going to be fabulous"" naa man, you're seeing nae cunt. If you do they'll be koed in 2 seconds flat. Hate u. #fuckgm"	NG
@USER no one asked bitch	NG
RT @USER: Man robin thicke all on black tv trying to get that pussy back	NG
RT @USER: bitches b tweeting everything they see to b Relavent 😂😂😂 its really sad 😳	NG
“@USER: @USER @USER you a bitch”they need to lock yo ass up for sayin some stupid shit like that	NG
At all my ritz crackers. Idk what to do with myself anymore.	OK
#mt #commission #gouache #tiki #wahine #monkey #tubed #surfing #wavesliding #waterwalker #notkook {{URL}}	OK
@USER @USER And just what is that bitch gonna do for women?	NG
Rikanya <<< 😭 get this bitch out my DM	NG
💯 my bitch 👏😋	NG
@USER fucking bitch	NG
RT @USER: i still live with hope that one day a hot rich boy will fall in love with me even though im trash	OK
RT @USER: “@USER: New Year's Eve bitches be like ... #nye14 #drunkinlove #beyonce {{URL}}”	NG
Damn this bitch crazy	NG
RT @USER: @USER @USER when i drink some beurs kid . plus ur a faggot anyways	NG
@USER for reals psycho ass bitch lol	NG
RT @USER: “@USER: @USER the last bitch I fucked was a mixed breed” 💯💯💯😂😂😂	NG
@USER @USER @USER I don't look like white trash. I'm not pregnant and 17 gtfo. I have hella gas so say something.	NG
Every bitch was born to break a man	NG
My bitch pussy multi-purpose, it take this dick and hide my dope!	NG
Used to have a girlfriend, now all I got is hoes..	NG
"RT @USER: My definition of ""bad bitch"" has changed drastically over the years."	NG
@USER because she a typical ghetto girll.	NG
RT @USER: Loyalty now let's get this money I got u,u got me no hoes just us !!!!	NG
@USER #pumprules is on bravo...quality trash	OK
@USER at least put a caption when stealing the pic fag lol	NG
@USER you a poop. :( see I'm going all ghetto talk. Wtf!	NG
' I wouldn't bring my girl around nobody but Leo 󾌴󾌴✋ He the only niggah I KNOW that wouldn't mess with any of the... {{URL}}	NG
Ion give a fuck ion give a fuck ion ion ion give a fuck bitch I don't give a fuck about you or anything that you do	NG
@USER my pops is from New York. My family is Yankee obsessed. My sister literally cried when she heard he was gonna	OK
RT @USER: Ima bitch him out lol @USER	NG
I'm a sucker for colored eyes 😔😔	OK
@USER happy birthday!! I hope the bitches got you something good	NG
RT @USER: <----- New Avi:) Me && my two yellow bitches @USER & @USER '	NG
RT @USER: White ppl will call Mexicans beaners and claim they taking their jobs but have sugar skull tattoos :-(	NG
The easiest way to have sex with a chick is to smell good, make her laugh, take her to get food and then fuck her right in the pussy	NG
Majority of the hoes on this gram instafrontin {{URL}}	NG
ShoutOut to Brooklyn and this $3.47/gal gas. On my way to Atlantic to mess with ghetto girls working at Target now.	NG
"RT @USER: Yep, Steve Spurrier just sorta compared Alabama to the Yankees. ""They've (NY) got the biggest payroll, they don't win ever…"	OK
I was a made nicca when I was a young nicca	NG
When niggas gimme their mixtape and it's trash #YEET #Fatality {{URL}}	NG
@USER abouta get him some crayons and animal crackers after 8:30pm 😂😂	OK
I wish @USER didnt block me long ago for calling him a pussy so I could call him a pussy again and get blocked a second time.	NG
@USER no comparison the Beatles are a bunch of cunts, but the band that matters the most is The Faces IMO. Stones second.	NG
"""@USER: Oregon chokes every year get off the field trash ass program"" RFT"	NG
I just want the bad hoes and I wanna reach the children	NG
"RT @USER: If you call a player a ""pussy"" when he's sidelined by concussion, and a ""low class"" when he trash talks, you might be a f…"	NG
which twitter bitch isn't selling chokers❔❔	NG
If viagra was for bitches it'd be called niagra	NG
Flappy bird stresses me out	OK
RT @USER: You hoes don't deserve the respect you ask for	NG
So niggas wanna be bitches and shit wearing flowers and shit smh y'all niggas gay!	NG
"""@USER: Bruno fag boy"" you love me."	NG
"""A pussy a day keeps the devil away"" -@USER"	NG
Fairy tale world lmao	OK
"RT @USER: ""No matter where you go, there's always an asshole wearing a Yankees cap."" -@USER {{URL}}"	NG
RT @USER: Hoes love justifying other hoes actions. That's how you easily know who be hoeing.	NG
RT @USER: Get this bitch out of my house	NG
Mitt Romney Gone take away weave if he become President, hoes gone be walkin around looking like Lil Bill & Calliou...	NG
RT @USER: The fuuuck happened to her ? RT. @USER: Ain't nothin worse than a bad bitch that lost it 😔 {{URL}}	NG
@USER @USER wtf you bitches seen this without me	NG
@USER nigger	NG
@USER sucks to suck bitch.	NG
RT @USER: how to get unlimited pussy in high school {{URL}}	NG
if your trying out for Non-contact hockey dont call anyone else a pussy	NG
Holy fuck they some bomb ass bitches at Buc-ee's	NG
RT @USER: Cause I'm as free as a bird now, and this bird you can not change 🎶	OK
what a clam shame	OK
RT @USER: Listen here you beautiful bitch, I'm about to fuck you up with some truth.	NG
Ayy yo @USER my nigga @USER be all up on da,pussy not lettin dat muafucka breathe.	NG
Bad bitches ain't cheap	NG
“@USER: {{URL}}” how young is this hoe with a m&m pillow	NG
Pizza and wings bitches	NG
All my gold is white not yellow.	OK
@USER Happy Another Group of 365 Days, you weird ass son of a bitch. That's why we all love you, though. Hoping there are riots in H-town	NG
@USER dont get that bacon stuffed crust tho its trash	OK
Oh well, you lil stupid ass bitch I don't fuck with Youuuuuu RT @USER: Idfwu is a bitter ass song and only fuck niggas like it.	NG
RT @USER: Coming up at 5:15a: Charlie Baker's campaign admits he may have been wrong about the emotional fisherman story from this w…	OK
Ball is life? No bitch bench is life 👋	NG
RT @USER: Seriously, Florida. A vote for Charlie Christ is a vote for taxes and ebola.	OK
RT @USER: All you hoes is still gon' be hoes tomorrow.	NG
@USER some blockhead hoe, she ain't nothing,boo	NG
RT @USER: Never cared about how another bitch saw me. I know who I am	NG
“@USER: brian stfu 😤👏 its twitter i could retweet anything”don't make me bitch slap you again 👋	NG
@USER niggers fell off	NG
Yea buddy RT @USER: A lot of NBA trash talk going on	OK
Bitches will be bitches.	NG
!!!!!!!!! RT @USER: @USER she look like a tranny	NG
Got the Vector Job, bitch.	NG
YES!! RT @USER: NO!!! RT @USER Will YOU buy the new Caramel Apple flavor of Oreos? {{URL}} {{URL}}	OK
@USER @USER prairie nigger	NG
@USER @USER @USER naw really bitch I mean yo address	NG
"""@USER: When twitter rappers dm me their trash links {{URL}}"""	OK
""" lames crying over hoes thats tears of a clown """	NG
"RT @USER: ""nah go talk to ur hoes since u dont wanna text back n shit"" {{URL}}"	NG
I need a new bitch	NG
RT @USER: All I see on my timeline is Ebola Ebola Ebola I hate school  Ebola  Ebola Some twitter hoes selfie Ebola Ebola Pull out ga…	NG
You think I'd learn by now that once red flag bullshit appears to gtfo. But nooooo I have to have faggot ass faith in people.	NG
RT @USER: Dumb bitch	NG
"' This be me 󾌴󾌴󾌴  Cuh went from "" Its time to settle down "" to "" Where the hoes at ?! "" 󾌴󾌴󾌴 . {{URL}}"	NG
1 baby Momma no bitch no wife like PAC u need a thug in ya life	NG
@USER Hope she's larger than a bird.	OK
I fight for what I love, but you make something of bitches I think nothing of.	NG
RT @USER: if you don't eat pussy you're childish and immature.	NG
RT @USER: Bacon over bitches	NG
@USER 😒FOREVER 21 hoes	OK
"RT @USER: Some pussy be so wet 💦💧💦💧you gotta think about other things not to cum fast.... like ""damn i really failed the 6th grade"""	NG
RT @USER: I let these bitches talk. that's just free promotion 👏.	NG
LeBron bout to cry lil bitch	NG
RT @USER: Whipped {{URL}}	OK
@USER Come on Charlie!  OUR GOVERNMENT WAS JUST TRYING TO PROTECT THE DESERT TORTOISE!  Atleast, that's what Barack Obama Says...	OK
niggas living like hoes dats why dey dying bout nothing	NG
I hate drinking by myself. Everyone's so fucking boring now. Fuck you guys, I'll be fun by myself pussies ✌️	NG
@USER laying in bed bout to pass out 630 is gonna be a bitch	NG
RT @USER: I think most men cheat because they're addicted to that new pussy smell.	NG
I love how my brother actually tries to understand his girl and see her point of view when they argue instead of being a bitch about it .	NG
Justin Bieber fakes his permanent bitch face and it bugs the shit out of me.	NG
Swap meet bound #beaner	OK
RT @USER: “@USER: New York bitches be like #ThatNYCshit #bitchesbelike #newyorkGirlsbelike #hoodbitches LMFAOO😂😂 😂 https:/…	NG
I had the boldest side hoes, come out to me I front of my girl nd start touchin a nigguh	NG
Squidward in the face ass bitch	NG
😂😂😂😂RT @USER: You a hoe if ya grandma got a tattoo.	NG
@USER go to sleep you fag!	NG
Niggas that eat mussels, eat pussy too #str888 #FACTS	NG
The club don't never get old to some of y'all hoes though.	NG
"@USER ""I'm a dirty ass nigga with a clean dick. Fucked a bitch in her ass then she sucked my dick."" omg Lil B we aren't ready."	NG
@USER i aint shit, you aint shit...bitch we meant for eachother	NG
I absolutely love my Shanti regardless what we go through that's my bitch	NG
"RT @USER: ""Here she go being a hoe again""-dog {{URL}}"	NG
' Bitch caught a body about a week ago ! Fuck with us and we get to tweekin hoe ! Run up on that niggah get to... {{URL}}	NG
@USER your disgusting, you should be banned from talking about Hiphop, retards like you belong in the 40's with your retarded ass logic	NG
Everybody got foreign bitches and foreign cars 😴😴	NG
RT @USER: What females do on twitter: 1. Brag bout loyalty  2. Call other females hoes 3. Song lyrics 4. Complain bout cramps 5. Twee…	NG
Heat bitches!!!!!!!!!!!	NG
@USER I told u ugly niggas get bitches young I promise u!! Work ya magic lol	NG
RT @USER: Love really is blind, stupid cunt of a feeling.	NG
Am I the only #gay man without a fag hag? I guess I am.	NG
Trey Songz can sing but cant actually right a good song. Trey Songz is only relevant because of thirsty Black bitches	NG
"Subtweeting little bitch ""taking the high road"""	NG
"RT @USER: On this #ArmisticeDay the cry ""Never Again"" is absent and mocks our pledge to #NeverForget the fallen from ancient an…"	OK
@USER everytime pro teams do GB tourneys that get schmanged. Im not fanboying im just saying I don't think u should say they're trash.	OK
I know how it feels to not have shit, believe me. I was born in the heart of LA. It don't get anymore ghetto than that	NG
RT @USER: Knew a bad bitch but she was kinda slow	NG
RT @USER: Never trust a bitch that take quick ass showers!	NG
@USER Dunleavy, my cracker ass honkie	NG
@USER you just a dark ie my nig.. It's ok..	NG
the bae gettin her nips pierced 😍😍	NG
RT @USER: 🎯“@USER: Basic tongue ring to suck dick with. And a basic costume. Recipe for a hoe “@USER: Ready for work. http:…	NG
@USER nick background my nigger	NG
We know you fat hoes are not big boned your jus fat af !	NG
"""@USER: Nd wtf is up with dark bitches with blonde.. PLEASE HAVE SEVERAL SEATS HOE!"" ..looking like black&milds out here"	NG
@USER Its funny and it has that blond bitch on it	NG
RT @USER: @USER @USER @USER @USER lmao that hashtag had me dying princess hoe needs to get a Twitter lol	NG
Patty dont love these hoes	NG
RT @USER: Lmao they all trash before & after 😒😭	OK
RT @USER: These water challenges are retarded as fuck.	NG
Bad bitches is the only thing that i like	NG
Never let them hoes get in between of what we started	NG
Bow down bitches, bow down bitchess	NG
"Posted a new song: """"guala"""" {{URL}} #music"	OK
@USER ah Lil bit bitch 😎😏😂👌	NG
@USER damn makin bitches jealous in reality & Twitter/facebook. Prolly mad bc if her pic was posted it wouldnt be taken as a joke! 😂	NG
"RT @USER: Messi's like ""I'm back bitches 😏👌"" lmao 😂😂😂"	NG
"RT @USER: ""I have sex with a lot of guys but I'm not a hoe""......and I can sell Crack to people and not be a drug dealer FOH HOE"	NG
@USER retarded pussy games #notPC	NG
Since bitches love callin me by my ex girlfriends names so much ima start callin them the names of niggas they fucked	NG
You fat hoes need to exercise and diet	NG
@USER yellow shirt hat turnt to da side	OK
RT @USER: 😂 RT @USER: I’m assuming she got a cup on RT @USER: Her pussy got a bicep b. wtf? {{URL}}	NG
RT @USER: its like the guy that asks for your number and then says you ugly and a bitch when you say no…	NG
RT @USER: Gasoline - daddy Yankee 💯👌	OK
You a world class hoe	NG
RT @USER: Nobody want no pussy 25 other niggas done had before	NG
Congrats on being a cunt, and doing your make up worse than a 12 year old. Ugly bitch	NG
I'll be stripping off layers of clothes the instant we get back to the gate. It's hot as Satan's pussy on this son-bitch	NG
“@USER: Typical hoe costumes: 1. Cat 2. Nurse 3. Bunny 4. Police officer 5. Themselves”💁	NG
Going to the creek with my bitches tomorrow	NG
Oh you got a new bitch you think you got a new bitch ...	NG
.@USER Al Qaeda's market share is dropping faster than Viacom & Enron in the Jihadi stock market	OK
"when nino said ""cancel that bitch ill buy a new one"" >>>>>>>>>>>"	NG
#HelloBrookland! We're here at the @USER opening! Serving free samples of cider, vegan sliders, brownies! {{URL}}	OK
not in the business of submitting to no bitch bruh bruh.	NG
"""@USER: ""@USER: Its simple, dont be a hoe=dont worry about being exposed 😜"" fight me""why ?"	NG
"""@USER: Nothin in life is free.. Some of you bitches need to write that on ya panties""😭😂"	NG
"""@USER: RAWR!! RT @USER: ""My"" sexy French scally. I love him! #frenchscally {{URL}}"" sexy scally woof woof"	OK
Lets these hoes be hoes thats all we know	NG
"RT @USER: It doesn't matter who I make out with in ""Spin the Bottle"" because I only invite the hottest bitches to play. #ladykiller"	NG
If you're a whiney bitch, have a ZIMA and shut the fuck up!  #Democrats {{URL}}	NG
@USER i'm not a trash talker, brah. i'm polite and diplomatic on and off the court.	OK
“@USER: When hoes feel like their photo didnt get enough favorites {{URL}}”	NG
I definitely cant FW a nigga that associates himself wit bitches I DONT fw 😂😭 tf you fuccing Goofball ✂️✂️	NG
drake needs to make up his mind. Be a rapper or a bitch? haha	NG
